_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,geometry
111,111,2023,EcoClub and Autism Intensive Support Program,GreenSpace,School Learning Garden,2,30.0,24,NIA,Brookview Middle School,4505 Jane Street,M3N 2K7,N,Humber River-Black Creek,7,MULTIPOINT (-79.51724666 43.76745723)
112,112,2023,Ãcole ÃlÃ©mentaire Paul-Demers,Oasis de petites bestioles,School Learning Garden,1,35.0,48,None,Ãcole Ã©lÃ©mentaire Paul-Demers,100 Ravel Road,M2H 1S9,N,Don Valley North,17,MULTIPOINT (-79.36734038 43.79195183)
113,113,2023,Environmental Justice Committee,Pollinator Garden,School Learning Garden,2,9.29,147,EN,Beverly Glen Junior Public School,85 Beverly Glen Boulevard,M1W 1W4,N,Scarborough-Agincourt,22,MULTIPOINT (-79.32307086 43.79866171)
114,114,2023,Evergreen,"Bird, Bee and Butterfly Garden",School Learning Garden,1,131.0,56,None,Evergreen Brick Works,550 Bayview Avenue,M4W 1Y3,N,University-Rosedale,11,MULTIPOINT (-79.36477706 43.68462229)
115,115,2023,Faywood ABC School Eco-Club,Garden for Pollinators,School Learning Garden,2,6.0,33,None,Faywood Arts-Based Curriculum School,95 Faywood Boulevard,M3H 2X5,N,York Centre,6,MULTIPOINT (-79.44669733 43.73985503)
116,116,2023,Frankland Community School,Frankland Greening,School Learning Garden,4,130.0,68,None,Frankland Community School,816 Logan Avenue,M4K 3E1,N,Toronto-Danforth,14,MULTIPOINT (-79.34968008 43.67715067)
117,117,2023,Friends of Morningside High Park,MHP Pollinator Gardens,Spiritual Centre Garden,3,242.0,87,None,Morningside-High Park Presbyterian Church,4 Morningside Avenue,M6S 1C2,N,Parkdale-High Park,4,MULTIPOINT (-79.47303306 43.64634907)
118,118,2023,Garden @ Kimbourne Community Permaculture Project,Pollinator Education Gardens,Spiritual Centre Garden,2,58.0,66,None,Kimbourne Park United Church,200 Wolverleigh Boulevard,M4C 1S2,N,Beaches-East York,19,MULTIPOINT (-79.32251593 43.68569159)
119,119,2023,Guildwood Butterflyway Project,Guildwood Blooming Boulevards 2023,Multiple Front Yard Gardens,5,139.0,140,None,Private Residential Property,19 Forsythia Drive,M1E 1X9,N,Scarborough-Guildwood,24,MULTIPOINT (-79.18756771 43.75138505)
120,120,2023,Howard School Community,Howard Learning Garden,School Learning Garden,1,10.0,87,None,Howard Junior Public School,30 Marmaduke Street,M6R 1T2,N,Parkdale-High Park,4,MULTIPOINT (-79.45227209 43.65042631)
121,121,2023,Labour Education Centre,Labour Education Centre Pollinator Garden,Communal Garden,1,10.0,21,NIA,Labour Education Centre,25 Klondike Drive,M9L 1P8,N,Humber River-Black Creek,7,MULTIPOINT (-79.55129197 43.76763916)
122,122,2023,Lakeshore Environmental Gardening Society (LEGS),North Pollinator Garden @ The Daily Bread Food Bank,Communal Garden,1,175.0,18,None,Daily Bread Food Bank,191 New Toronto Street,M8V 2E7,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.50409959 43.60644115)
123,123,2023,Local Enhancement and Appreciation of Forests (LEAF),Urban Forest Demonstration Gardens,Multiple Property Garden,5,538.0,94,None,Bathurst Subway Station,655 Markham Street,M6G 2M1,N,University-Rosedale,11,MULTIPOINT (-79.41233453 43.66549393)
124,124,2023,Nairn Pollinators,261 Nairn Pollinator Garden,City Park,1,14.0,92,None,Nairn Park,261 Nairn Avenue,M6E 4H5,N,Davenport,9,MULTIPOINT (-79.45135724 43.68411416)
125,125,2023,Newmarket Ave Pollinator Pathway,Newmarket Ave Pollinator Pathway,Multiple Front Yard Gardens,8,76.6,62,None,Private Residential Property,99 Newmarket Avenue,M4C 1W1,N,Beaches-East York,19,MULTIPOINT (-79.30489129 43.68965794)
126,126,2023,Nimahkikiike (We Make Medicine),QA Mashkiki Gitigan (QA Medicine Garden),School Learning Garden,1,50.0,70,None,Queen Alexandra Middle School,181 Broadview Avenue,M4M 2G3,N,Toronto-Danforth,14,MULTIPOINT (-79.35009113 43.66164295)
127,127,2023,Norway Junior Public School,Norway Pollinator Protectors,School Learning Garden,6,12.7,62,None,Norway Junior Public School,390 Kingston Road,M4L 1T9,N,Beaches-East York,19,MULTIPOINT (-79.30621983 43.67637291)
128,128,2023,Ossington Old Orchard Parent Council,OOOPS Pollinator Garden,School Learning Garden,5,70.0,81,None,Ossington/Old Orchard Junior Public School,380 Ossington Avenue,M6G 3T7,N,Davenport,9,MULTIPOINT (-79.42259976 43.65270766)
129,129,2023,Our Lady of Peace Elementary School,Peace Garden,School Learning Garden,3,28.0,158,None,Our Lady of Peace Catholic Elementary School,70 Mattice Avenue,M9B 1T6,N,Etobicoke Centre,2,MULTIPOINT (-79.54108144 43.64652082)
130,130,2023,Our Lady Of Sorrows School,Our Lady Of Sorrows School Pollinator Garden,School Learning Garden,1,78.0,15,None,Our Lady of Sorrows Catholic School,32 Montgomery Road,M8X 1Z4,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.51896704 43.64821936)
131,131,2023,RC3 Garden Group,The Pollinator,Multiple Property Garden,7,250.0,166,None,River City 3 Condominium,170 Bayview Avenue,M5A 0M4,N,Toronto Centre,13,MULTIPOINT (-79.35375024 43.65530503)
132,132,2023,Rewilders,1K Pollinator Pathway,Multiple Boulevard Gardens,6,96.0,80,None,Public Pollinator Pathway,692 Bloor Street West,M6G 1J7,N,University-Rosedale,11,MULTIPOINT (-79.41743325 43.66397724)
133,133,2023,Runny(bee)de CI Garden Group,Pollinator Plaza,School Learning Garden,3,27.0,89,None,Runnymede Collegiate Institute,569 Jane Street,M6S 4A3,N,Parkdale-High Park,4,MULTIPOINT (-79.48981466 43.66354085)
134,134,2023,Secord Garden Committee,Secord Pollinator Garden,School Learning Garden,2,35.0,61,NIA,Secord Elementary School,101 Barrington Avenue,M4C 4Y9,N,Beaches-East York,19,MULTIPOINT (-79.30183125 43.69237889)
135,135,2023,South Parkdale Community Pollinator Gardeners,South Parkdale Community Pollinator Gardens,Multiple Front Yard Gardens,9,10.0,85,NIA,Private Residential Property,35 Springhurst Avenue,M6K 1B1 ,N,Parkdale-High Park,4,MULTIPOINT (-79.42783167 43.63427089)
136,136,2023,St. Basil-the-Great College School,St. Basil's Pollinator Garden,School Learning Garden,2,26.0,23,None,St. Basil-the-Great College School,20 Starview Lane,M9M 3B2,N,Humber River-Black Creek,7,MULTIPOINT (-79.53332748 43.72770719)
137,137,2023,St. John's Gardening Group,St. Johnâs Pollinator Garden,Spiritual Centre Garden,1,700.0,50,None,St. John's Anglican Church Willowdale,1087 Lillian Street,M2M 3G1,N,Willowdale,18,MULTIPOINT (-79.4103937 43.79845637)
138,138,2023,The 266th Toronto Guides,The Bee-utify Coxwell Garden Project,Boulevard Garden,3,136.0,58,None,"
East York Collegiate Institute",650 Cosburn Avenue ,M4C 3G3,N,Beaches-East York,19,MULTIPOINT (-79.32823558 43.6954282)
139,139,2023,The Elms JMS Community Initiatives Group,Pollinate the Elms!,School Learning Garden,1,10.0,5,NIA,The Elms Junior Middle School,45 Golfdown Drive,M9W 2H8,N,Etobicoke North,1,MULTIPOINT (-79.55211379 43.7222273)
140,140,2023,The Lewis Lions,Pollinate With Pride! (our school motto is 'Participate with pride!'),School Learning Garden,3,31.0,116,EN,David Lewis Public School,130 Fundy Bay Boulevard,M1W 3G1,N,Scarborough-Agincourt,22,MULTIPOINT (-79.31788929 43.80920532)
141,141,2023,The Stop Community Food Centre,Pollinator Garden For Our Community,Communal Garden,1,65.0,94,None,The Stop Community Food Centre,601 Christie Street,M6G 2X7,N,Toronto-St. Paul's,12,MULTIPOINT (-79.42409492 43.67995884)
142,142,2023,The Theatre Centre,The Theatre Centre Gardens,Boulevard Garden,2,22.0,84,None,The Theatre Centre,1115 Queen Street West,M6J 1J1,N,Davenport,9,MULTIPOINT (-79.42328231 43.64309922)
143,143,2023,The Westway Butterfly Brigade,Westway Junior School Pollinator Garden,School Learning Garden,2,46.5,6,NIA,Westway Junior School,25 Poynter Drive,M9R 1K8,N,Etobicoke Centre,2,MULTIPOINT (-79.54899331 43.69082212)
144,144,2023,Trinity Food Systems Lab (TFS Lab),"Pollinator, Native Plant, Urban Ag Initiative",School Learning Garden,1,70.0,79,None,Trinity College - University of Toronto, 44 Devonshire Place,M5S 2E2,N,University-Rosedale,11,MULTIPOINT (-79.3978929 43.66584192)
145,145,2023,Warren Park JPS Parents and Teachers,Warren Park Pollinator Garden,School Learning Garden,3,37.0,114,None,Warren Park Junior Public School,135 Varsity Road,M6S 4P4,N,Parkdale-High Park,4,MULTIPOINT (-79.49944079 43.66285134)
146,146,2023,West Hill DD Program,Pollinator Gardens,School Learning Garden,1,11.0,136,NIA,West Hill Collegiate Institute,350 Morningside Avenue,M1E 3G3,N,Scarborough-Guildwood,24,MULTIPOINT (-79.19058756 43.77566842)
147,147,2023,Westmount JS Pollinator Club,Westmount Pollinator Garden,School Learning Garden,1,10.0,8,EN,Westmount Junior School,95 Chapman Road,M9P 1E9,Y,Etobicoke Centre,2,MULTIPOINT (-79.5196593 43.68909613)
148,148,2023,William Burgess Public School,William Burgess School Garden,School Learning Garden,1,11.0,58,None,William Burgess Public School,100 Torrens Avenue,M4J 2P5,N,Toronto-Danforth,14,MULTIPOINT (-79.34815773 43.69192773)
149,149,2023,William Lyon Mackenzie C.I. Gardening Club,Lyons Pollinator Gardens,School Learning Garden,1,2023.0,34,None,William Lyon Mackenzie Collegiate Institute,20 Tillplain Road,M3H 5R2,N,York Centre,6,MULTIPOINT (-79.46189416 43.75347096)
